header,cluster_trace,postal_code,ageb,estado,municipio,colonia,metodo,lat,lon
CEC-19-0199|MEX|ST_1|Cluster_NA|2019/09/06,,.,0900500011646,Ciudad de Mexico,Coyoacan,.,Distribucion_Municipio,,
CEC-19-0734|MEX|ST_1|Cluster_NA|2019/11/06,,.,0900500012339,Ciudad de Mexico,Coyoacan,.,Distribucion_Municipio,,
CEC-20-1190|MEX|ST_1|Cluster_NA|2020/08/19,,.,0901000010915,Ciudad de Mexico,Iztapalapa,Granjas Estrella,Distribucion_Colonia,19.3235812,-99.0876494
CEC-21-3239|MEX|ST_1|Cluster_NA|2021/04/09,,.,0900700014698,Ciudad de Mexico,Cuauhtemoc,Centro (Area 1),Distribucion_Colonia,19.4324484,-99.1360896
CEC-21-3726|MEX|ST_1|Cluster_NA|2021/05/20,,15940,0901600010374,Ciudad de Mexico,Venustiano Carranza,Morelos,Distribucion_Colonia,19.4396722,-99.1181152
CEC-21-3061|MEX|ST_1|Cluster_NA|2021/03/24,,04720,0900500012254,Ciudad de Mexico,Coyoacan,Pedregal del Maurel,Distribucion_Colonia,19.3087764,-99.1753239
CEC-19-1017|MEX|ST_1|Cluster_NA|2019/12/09,,.,0900500011792,Ciudad de Mexico,Coyoacan,.,Distribucion_Municipio,,
CEC-20-0995|MEX|ST_1|Cluster_NA|2020/07/23,,.,0900200010805,Ciudad de Mexico,Alvaro Obregon,.,Distribucion_Municipio,,
CEC-19-0389|MEX|ST_1|Cluster_NA|2019/09/25,,.,0901000012057,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-21-2360|MEX|ST_1|Cluster_NA|2021/01/13,,02450,0900300010361,Ciudad de Mexico,Azcapotzalco,Las Trancas,Distribucion_Colonia,19.4911607,-99.1974444
CEC-19-0315|MEX|ST_1|Cluster_NA|2019/09/18,,.,0900700013647,Ciudad de Mexico,Cuauhtemoc,.,Distribucion_Municipio,,
CEC-19-0921|MEX|ST_1|Cluster_NA|2019/11/27,,.,0900500012108,Ciudad de Mexico,Coyoacan,.,Distribucion_Municipio,,
CEC-20-1291|MEX|ST_1|Cluster_NA|2020/08/28,,.,0901700010225,Ciudad de Mexico,Xochimilco,.,Distribucion_Municipio,,
CEC-19-0035|MEX|ST_1|Cluster_NA|2019/07/24,,.,0901500010644,Ciudad de Mexico,Tlalpan,.,Distribucion_Municipio,,
CEC-19-0998|MEX|ST_1|Cluster_NA|2019/12/09,,.,090050001217A,Ciudad de Mexico,Coyoacan,.,Distribucion_Municipio,,
CEC-20-1074|MEX|ST_1|Cluster_NA|2020/08/06,,.,0900700010500,Ciudad de Mexico,Cuauhtemoc,Roma Norte,Distribucion_Colonia,19.4183227,-99.1625655
CEC-20-2017|MEX|ST_1|Cluster_NA|2020/11/13,,.,090101326,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-22-8616|MEX|ST_1|Cluster_NA|2022/08/15,,15940,0901600010374,Ciudad de Mexico,Venustiano Carranza,Morelos,Distribucion_Colonia,19.4396722,-99.1181152
CEC-21-4908|MEX|ST_1|Cluster_NA|2021/09/21,,.,0900900290609,Ciudad de Mexico,Iztacalco,Campamento 2 de Octubre,Distribucion_Municipio,,
CEC-20-1410|MEX|ST_1|Cluster_NA|2020/09/11,,.,0900400010250,Ciudad de Mexico,Benito Juarez_CDMX,.,Distribucion_Municipio,,
CEC-19-0611|MEX|ST_1|Cluster_NA|2019/10/18,,.,0900700015291,Ciudad de Mexico,Cuauhtemoc,.,Distribucion_Municipio,,
CEC-19-0124|MEX|ST_1|Cluster_NA|2019/08/28,,.,0900300010658,Ciudad de Mexico,Azcapotzalco,.,Distribucion_Municipio,,
CEC-19-0489|MEX|ST_1|Cluster_NA|2019/10/09,,.,090150001088A,Ciudad de Mexico,Tlalpan,.,Distribucion_Municipio,,
CEC-19-0309|MEX|ST_1|Cluster_NA|2019/09/18,,.,0900600011130,Ciudad de Mexico,Cuajimalpa de Morelos,.,Distribucion_Municipio,,
CEC-20-2019|MEX|ST_1|Cluster_NA|2020/11/13,,.,0900200011023,Ciudad de Mexico,Alvaro Obregon,Tepeaca,Distribucion_Colonia,19.3613478,-99.2340223
CEC-22-9384|MEX|ST_1|Cluster_NA|2022/10/21,,09857,0901000011947,Ciudad de Mexico,Iztapalapa,San Lorenzo,Distribucion_Colonia,19.3799547,-99.1078366
CEC-19-0382|MEX|ST_1|Cluster_NA|2019/09/25,,.,0900900110435,Ciudad de Mexico,Iztacalco,.,Distribucion_Municipio,,
CEC-19-0784|MEX|ST_1|Cluster_NA|2019/11/13,,.,0900500010949,Ciudad de Mexico,Coyoacan,.,Distribucion_Municipio,,
CEC-21-2469|MEX|ST_1|Cluster_NA|2021/01/25,,10100,0901100011484,Ciudad de Mexico,La Magdalena Contreras,Unidad Independencia IMSS,Distribucion_Colonia,19.3337055,-99.2148887
CEC-22-7374|MEX|ST_1|Cluster_NA|2022/05/04,,.,0901000011519,Ciudad de Mexico,Iztapalapa,Santa Maria Aztahuacan,Distribucion_Colonia,19.3529612,-99.0244884
CEC-19-0188|MEX|ST_1|Cluster_NA|2019/09/04,,.,0901000010690,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-19-0924|MEX|ST_1|Cluster_NA|2019/11/27,,.,0900500010135,Ciudad de Mexico,Coyoacan,.,Distribucion_Municipio,,
CEC-19-0388|MEX|ST_1|Cluster_NA|2019/09/25,,.,0900900360223,Ciudad de Mexico,Iztacalco,.,Distribucion_Municipio,,
CEC-19-1013|MEX|ST_1|Cluster_NA|2019/12/09,,.,0900700015874,Ciudad de Mexico,Cuauhtemoc,.,Distribucion_Municipio,,
CEC-21-4782|MEX|ST_1|Cluster_NA|2021/09/08,,.,0901100010984,Ciudad de Mexico,La Magdalena Contreras,.,Distribucion_Municipio,,
CEC-19-0610|MEX|ST_1|Cluster_NA|2019/10/18,,.,0901000012358,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-21-4110|MEX|ST_1|Cluster_NA|2021/06/24,,.,0901000012201,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-19-0343|MEX|ST_1|Cluster_NA|2019/09/20,,02450,0900300011020,Ciudad de Mexico,Azcapotzalco,Miguel Hidalgo,Distribucion_Colonia,19.4937154,-99.1988243
CEC-19-0378|MEX|ST_1|Cluster_NA|2019/09/25,,.,0900400010369,Ciudad de Mexico,Benito Juarez_CDMX,.,Distribucion_Municipio,,
CEC-20-1389|MEX|ST_1|Cluster_NA|2020/09/08,,.,0901000011364,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-20-1660|MEX|ST_1|Cluster_NA|2020/10/09,,.,0900300010677,Ciudad de Mexico,Azcapotzalco,.,Distribucion_Municipio,,
CEC-19-0859|MEX|ST_1|Cluster_NA|2019/11/20,,.,0901600010887,Ciudad de Mexico,Venustiano Carranza,.,Distribucion_Municipio,,
CEC-20-1466|MEX|ST_1|Cluster_NA|2020/09/18,,.,0901300010669,Ciudad de Mexico,Milpa Alta,.,Distribucion_Municipio,,
CEC-20-1469|MEX|ST_1|Cluster_NA|2020/09/21,,.,0901300010851,Ciudad de Mexico,Milpa Alta,.,Distribucion_Municipio,,
CEC-22-9101|MEX|ST_1|Cluster_NA|2022/09/27,,09170,0901000012358,Ciudad de Mexico,Iztapalapa,La Colmena,Distribucion_Colonia,19.3678062,-99.0010104
CEC-19-0804|MEX|ST_1|Cluster_NA|2019/11/13,,.,0901000010718,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-21-4628|MEX|ST_1|Cluster_9|2021/08/19,,.,0901500011089,Ciudad de Mexico,Tlalpan,Guadalupe,Distribucion_Colonia,19.2891758,-99.1456885
CEC-19-0092|MEX|ST_1|Cluster_NA|2019/08/21,,.,0900800010175,Ciudad de Mexico,Gustavo A. Madero,.,Distribucion_Municipio,,
CEC-22-9798|MEX|ST_1|Cluster_NA|2022/12/07,,.,0900700010500,Ciudad de Mexico,Cuauhtemoc,Roma Norte,Distribucion_Colonia,19.4183227,-99.1625655
CEC-19-0412|MEX|ST_1|Cluster_NA|2019/10/02,,.,0900700015304,Ciudad de Mexico,Cuauhtemoc,.,Distribucion_Municipio,,
CEC-22-8931|MEX|ST_1|Cluster_NA|2022/09/08,,.,0901000011129,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-22-7198|MEX|ST_1|Cluster_NA|2022/04/19,,.,0900700012545,Ciudad de Mexico,Cuauhtemoc,Juarez,Distribucion_Colonia,19.4332704,-99.1476839
CEC-19-0305|MEX|ST_1|Cluster_NA|2019/09/17,,.,0901000010826,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-22-9161|MEX|ST_1|Cluster_NA|2022/09/30,,15940,0901600010374,Ciudad de Mexico,Venustiano Carranza,Morelos,Distribucion_Colonia,19.4396722,-99.1181152
CEC-19-0615|MEX|ST_1|Cluster_NA|2019/10/18,,.,0901000010845,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
